sku,brand,model,category,power_kw,efficiency_pct,phases,mppt_count,weight_kg,ip_rating,warranty_years,capacity_kwh,dimensions_mm,operating_temp,certifications,datasheet_url,image_url
BOS-GM51,DEYE,BOS GM51,battery,,,,,15.5,IP20,,5.12,589x590x1640,-20°C to +55°C,CE|IEC62619|UL1973|UL9540,/datasheets/deye/bos-gm51-datasheet.pdf,/products/deye/bos-gm51.jpg
SUN-6K-SG03LP1,DEYE,SUN 6K SG03LP1,inverter,,,1,,,IP65,,,330x580x232,,CE|EN 50549|EN 61000|EN 62109|G98|G99|IEC 61727|IEC 62116|VDE,/datasheets/deye/sun-6k-sg03lp1-datasheet.pdf,/products/deye/sun-6k-sg03lp1.jpg
SUN-8K-SG04LP3,DEYE,SUN 8K SG04LP3,inverter,0.42,,3,,,IP65,,,,,CE|EN 61000|EN 62109|G98|G99|IEC 61727|IEC 62116|VDE,/datasheets/deye/sun-8k-sg04lp3-datasheet.pdf,/products/deye/sun-8k-sg04lp3.jpg
FLASH-500,DUALSUN,FLASH 500,panel,,,,,,,,,,,IEC 61215|IEC 61730,/datasheets/dualsun/flash-500-datasheet.pdf,/products/dualsun/flash-500.jpg
IQ8HC,ENPHASE,IQ8HC,microinverter,,97.0,1,,1.1,,,,,,CE|UL 1741|UL 62109,/datasheets/enphase/iq8hc-datasheet.pdf,/products/enphase/iq8hc.jpg
HMS-800,HOYMILES,HMS 800,microinverter,1.0,96.7,,5,,IP67,,,261x180x35,,CE|EN 50549|EN 61000|EN 62109|VDE,/datasheets/hoymiles/hms-800-datasheet.pdf,/products/hoymiles/hms-800.jpg
HMT-2250,HOYMILES,HMT 2250,microinverter,,96.5,3,,20.0,IP67,,,330x250x35,-20°C to +55°C,CE|EN 50549|EN 61000|EN 62109|EN50549|UL1741|VDE,/datasheets/hoymiles/hmt-2250-datasheet.pdf,/products/hoymiles/hmt-2250.jpg
LUNA2000-5-E0,HUAWEI,LUNA2000 5 E0,battery,2.5,,3,,12.0,IP66,,5.0,,,CE|IEC 60730|IEC62619|VDE,/datasheets/huawei/luna2000-5-e0-datasheet.pdf,/products/huawei/luna2000-5-e0.jpg
LUNA2000-C0,HUAWEI,LUNA2000 C0,battery,2.5,,3,,12.0,IP66,,5.0,670x150x600,,CE|IEC 60730|IEC62619|VDE,/datasheets/huawei/luna2000-c0-datasheet.pdf,/products/huawei/luna2000-c0.jpg
P1300,HUAWEI,P1300,optimizer,2.0,99.5,,,,IP68,,,,-40°C to +85°C,IEC62109,/datasheets/huawei/p1300-datasheet.pdf,/products/huawei/p1300.jpg
